Position;Height above ground [m];Time;X [m];Y [m];Z [m];Opening Angle [°];Stalling Angle Left [°];Stalling Angle Right [°];Roll Angle Left [°];Roll Angle Right [°];Yaw Angle Left [°];Yaw Angle Right [°];Speed hor. [km/h];Speed vert. [km/h];Speed resulting [km/h];WindTime|WindName|WindSpeed|WindSpeedTangent|WindTurbulence|WindSpeedCleanTan|WindSpeedCross
86.00;4.07;2026-03-28T09:29:43.9386241+01:00;79.58;-1.08;-32.49;15.9;-1.141;-10.068;45.206;-19.860;4.839;-11.408;92.408;-60.925;110.763;"2026-03-28T09:29:44.051+01:00|W1|2.0|1.93|0.15|1.93|0.52;2026-03-28T09:29:44.051+01:00|W2|1.7|1.55|0.21|1.55|0.25;2026-03-28T09:29:44.051+01:00|W3|1.6|1.38|0.06|1.38|0.63;2026-03-28T09:29:44.051+01:00|W4|1.3|0.91|0.02|0.91|0.97;2026-03-28T09:29:44.051+01:00|W5|1.0|0.94|0.02|0.94|0.24;2026-03-28T09:29:44.051+01:00|W6|1.3|1.08|0.07|1.08|0.64;2026-03-28T09:29:44.051+01:00|W7|1.5|1.14|0.18|1.14|1.01;2026-03-28T09:29:44.051+01:00|W8|1.5|0.63|0.11|0.63|1.33;2026-03-28T09:29:44.051+01:00|W9|0.7|0.23|0.23|0.23|0.60;2026-03-28T09:29:44.051+01:00|W10|1.0|0.71|0.09|0.71|0.64;2026-03-28T09:29:44.051+01:00|W11|0.9|0.36|0.11|0.36|0.79;2026-03-28T09:29:44.051+01:00|W12|1.2|0.05|0.11|0.05|1.22"
87.00;4.09;2026-03-28T09:29:43.9725114+01:00;80.46;-1.15;-33.02;16.0;-1.134;-9.459;45.336;-18.424;4.870;-11.158;92.473;-61.564;111.184;"2026-03-28T09:29:44.051+01:00|W1|2.0|1.93|0.15|1.93|0.52;2026-03-28T09:29:44.051+01:00|W2|1.7|1.55|0.21|1.55|0.25;2026-03-28T09:29:44.051+01:00|W3|1.6|1.38|0.06|1.38|0.63;2026-03-28T09:29:44.051+01:00|W4|1.3|0.91|0.02|0.91|0.97;2026-03-28T09:29:44.051+01:00|W5|1.0|0.94|0.02|0.94|0.24;2026-03-28T09:29:44.051+01:00|W6|1.3|1.08|0.07|1.08|0.64;2026-03-28T09:29:44.051+01:00|W7|1.5|1.14|0.18|1.14|1.01;2026-03-28T09:29:44.051+01:00|W8|1.5|0.63|0.11|0.63|1.33;2026-03-28T09:29:44.051+01:00|W9|0.7|0.23|0.23|0.23|0.60;2026-03-28T09:29:44.051+01:00|W10|1.0|0.71|0.09|0.71|0.64;2026-03-28T09:29:44.051+01:00|W11|0.9|0.36|0.11|0.36|0.79;2026-03-28T09:29:44.051+01:00|W12|1.2|0.05|0.11|0.05|1.22"
88.00;4.06;2026-03-28T09:29:44.0057219+01:00;81.31;-1.19;-33.59;15.3;-1.012;-8.755;43.705;-18.076;4.392;-10.970;92.530;-61.762;111.351;"2026-03-28T09:29:44.051+01:00|W1|2.0|1.93|0.15|1.93|0.52;2026-03-28T09:29:44.051+01:00|W2|1.7|1.55|0.21|1.55|0.25;2026-03-28T09:29:44.051+01:00|W3|1.6|1.38|0.06|1.38|0.63;2026-03-28T09:29:44.051+01:00|W4|1.3|0.91|0.02|0.91|0.97;2026-03-28T09:29:44.051+01:00|W5|1.0|0.94|0.02|0.94|0.24;2026-03-28T09:29:44.051+01:00|W6|1.3|1.08|0.07|1.08|0.64;2026-03-28T09:29:44.051+01:00|W7|1.5|1.14|0.18|1.14|1.01;2026-03-28T09:29:44.051+01:00|W8|1.5|0.63|0.11|0.63|1.33;2026-03-28T09:29:44.051+01:00|W9|0.7|0.23|0.23|0.23|0.60;2026-03-28T09:29:44.051+01:00|W10|1.0|0.71|0.09|0.71|0.64;2026-03-28T09:29:44.051+01:00|W11|0.9|0.36|0.11|0.36|0.79;2026-03-28T09:29:44.051+01:00|W12|1.2|0.05|0.11|0.05|1.22"
89.00;4.04;2026-03-28T09:29:44.0388603+01:00;82.16;-1.23;-34.16;14.8;-0.896;-8.080;42.134;-18.149;3.960;-10.892;92.560;-61.937;111.478;"2026-03-28T09:29:44.051+01:00|W1|2.0|1.93|0.15|1.93|0.52;2026-03-28T09:29:44.051+01:00|W2|1.7|1.55|0.21|1.55|0.25;2026-03-28T09:29:44.051+01:00|W3|1.6|1.38|0.06|1.38|0.63;2026-03-28T09:29:44.051+01:00|W4|1.3|0.91|0.02|0.91|0.97;2026-03-28T09:29:44.051+01:00|W5|1.0|0.94|0.02|0.94|0.24;2026-03-28T09:29:44.051+01:00|W6|1.3|1.08|0.07|1.08|0.64;2026-03-28T09:29:44.051+01:00|W7|1.5|1.14|0.18|1.14|1.01;2026-03-28T09:29:44.051+01:00|W8|1.5|0.63|0.11|0.63|1.33;2026-03-28T09:29:44.051+01:00|W9|0.7|0.23|0.23|0.23|0.60;2026-03-28T09:29:44.051+01:00|W10|1.0|0.71|0.09|0.71|0.64;2026-03-28T09:29:44.051+01:00|W11|0.9|0.36|0.11|0.36|0.79;2026-03-28T09:29:44.051+01:00|W12|1.2|0.05|0.11|0.05|1.22"
90.00;4.01;2026-03-28T09:29:44.0719413+01:00;83.01;-1.28;-34.73;14.5;-0.790;-7.443;40.704;-18.672;3.603;-10.942;92.557;-62.102;111.572;"2026-03-28T09:29:44.051+01:00|W1|2.0|1.93|0.15|1.93|0.52;2026-03-28T09:29:44.051+01:00|W2|1.7|1.55|0.21|1.55|0.25;2026-03-28T09:29:44.051+01:00|W3|1.6|1.38|0.06|1.38|0.63;2026-03-28T09:29:44.051+01:00|W4|1.3|0.91|0.02|0.91|0.97;2026-03-28T09:29:44.051+01:00|W5|1.0|0.94|0.02|0.94|0.24;2026-03-28T09:29:44.051+01:00|W6|1.3|1.08|0.07|1.08|0.64;2026-03-28T09:29:44.051+01:00|W7|1.5|1.14|0.18|1.14|1.01;2026-03-28T09:29:44.051+01:00|W8|1.5|0.63|0.11|0.63|1.33;2026-03-28T09:29:44.051+01:00|W9|0.7|0.23|0.23|0.23|0.60;2026-03-28T09:29:44.051+01:00|W10|1.0|0.71|0.09|0.71|0.64;2026-03-28T09:29:44.051+01:00|W11|0.9|0.36|0.11|0.36|0.79;2026-03-28T09:29:44.051+01:00|W12|1.2|0.05|0.11|0.05|1.22"
91.00;4.00;2026-03-28T09:29:44.1038972+01:00;83.84;-1.33;-35.28;14.2;-0.688;-6.828;39.323;-19.177;3.259;-10.989;92.555;-62.262;111.662;"2026-03-28T09:29:44.051+01:00|W1|2.0|1.93|0.15|1.93|0.52;2026-03-28T09:29:44.051+01:00|W2|1.7|1.55|0.21|1.55|0.25;2026-03-28T09:29:44.051+01:00|W3|1.6|1.38|0.06|1.38|0.63;2026-03-28T09:29:44.051+01:00|W4|1.3|0.91|0.02|0.91|0.97;2026-03-28T09:29:44.051+01:00|W5|1.0|0.94|0.02|0.94|0.24;2026-03-28T09:29:44.051+01:00|W6|1.3|1.08|0.07|1.08|0.64;2026-03-28T09:29:44.051+01:00|W7|1.5|1.14|0.18|1.14|1.01;2026-03-28T09:29:44.051+01:00|W8|1.5|0.63|0.11|0.63|1.33;2026-03-28T09:29:44.051+01:00|W9|0.7|0.23|0.23|0.23|0.60;2026-03-28T09:29:44.051+01:00|W10|1.0|0.71|0.09|0.71|0.64;2026-03-28T09:29:44.051+01:00|W11|0.9|0.36|0.11|0.36|0.79;2026-03-28T09:29:44.051+01:00|W12|1.2|0.05|0.11|0.05|1.22"
92.00;3.98;2026-03-28T09:29:44.1357692+01:00;84.65;-1.37;-35.84;14.1;-0.709;-6.335;38.213;-19.577;3.048;-11.104;92.534;-62.427;111.742;"2026-03-28T09:29:44.051+01:00|W1|2.0|1.93|0.15|1.93|0.52;2026-03-28T09:29:44.051+01:00|W2|1.7|1.55|0.21|1.55|0.25;2026-03-28T09:29:44.051+01:00|W3|1.6|1.38|0.06|1.38|0.63;2026-03-28T09:29:44.051+01:00|W4|1.3|0.91|0.02|0.91|0.97;2026-03-28T09:29:44.051+01:00|W5|1.0|0.94|0.02|0.94|0.24;2026-03-28T09:29:44.051+01:00|W6|1.3|1.08|0.07|1.08|0.64;2026-03-28T09:29:44.051+01:00|W7|1.5|1.14|0.18|1.14|1.01;2026-03-28T09:29:44.051+01:00|W8|1.5|0.63|0.11|0.63|1.33;2026-03-28T09:29:44.051+01:00|W9|0.7|0.23|0.23|0.23|0.60;2026-03-28T09:29:44.051+01:00|W10|1.0|0.71|0.09|0.71|0.64;2026-03-28T09:29:44.051+01:00|W11|0.9|0.36|0.11|0.36|0.79;2026-03-28T09:29:44.051+01:00|W12|1.2|0.05|0.11|0.05|1.22"
93.00;3.96;2026-03-28T09:29:44.1676033+01:00;85.47;-1.41;-36.39;14.4;-0.933;-6.038;37.541;-19.807;3.052;-11.328;92.486;-62.603;111.805;"2026-03-28T09:29:44.051+01:00|W1|2.0|1.93|0.15|1.93|0.52;2026-03-28T09:29:44.051+01:00|W2|1.7|1.55|0.21|1.55|0.25;2026-03-28T09:29:44.051+01:00|W3|1.6|1.38|0.06|1.38|0.63;2026-03-28T09:29:44.051+01:00|W4|1.3|0.91|0.02|0.91|0.97;2026-03-28T09:29:44.051+01:00|W5|1.0|0.94|0.02|0.94|0.24;2026-03-28T09:29:44.051+01:00|W6|1.3|1.08|0.07|1.08|0.64;2026-03-28T09:29:44.051+01:00|W7|1.5|1.14|0.18|1.14|1.01;2026-03-28T09:29:44.051+01:00|W8|1.5|0.63|0.11|0.63|1.33;2026-03-28T09:29:44.051+01:00|W9|0.7|0.23|0.23|0.23|0.60;2026-03-28T09:29:44.051+01:00|W10|1.0|0.71|0.09|0.71|0.64;2026-03-28T09:29:44.051+01:00|W11|0.9|0.36|0.11|0.36|0.79;2026-03-28T09:29:44.051+01:00|W12|1.2|0.05|0.11|0.05|1.22"
94.00;3.95;2026-03-28T09:29:44.1995574+01:00;86.29;-1.46;-36.95;14.6;-1.620;-6.061;37.380;-21.224;3.307;-11.524;92.441;-62.736;111.847;"2026-03-28T09:29:44.300+01:00|W1|2.0|1.93|0.15|1.93|0.52;2026-03-28T09:29:44.300+01:00|W2|1.7|1.55|0.21|1.55|0.25;2026-03-28T09:29:44.300+01:00|W3|1.6|1.38|0.06|1.38|0.63;2026-03-28T09:29:44.300+01:00|W4|1.3|0.91|0.02|0.91|0.97;2026-03-28T09:29:44.300+01:00|W5|1.0|0.94|0.02|0.94|0.24;2026-03-28T09:29:44.300+01:00|W6|1.3|1.08|0.07|1.08|0.64;2026-03-28T09:29:44.300+01:00|W7|1.5|1.14|0.18|1.14|1.01;2026-03-28T09:29:44.300+01:00|W8|1.5|0.63|0.11|0.63|1.33;2026-03-28T09:29:44.300+01:00|W9|0.7|0.23|0.23|0.23|0.60;2026-03-28T09:29:44.300+01:00|W10|1.0|0.85|0.04|0.85|0.53;2026-03-28T09:29:44.300+01:00|W11|0.9|0.31|0.07|0.31|0.85;2026-03-28T09:29:44.300+01:00|W12|1.2|0.05|0.11|0.05|1.22"
95.00;3.94;2026-03-28T09:29:44.2319331+01:00;87.11;-1.51;-37.51;14.7;-2.426;-6.160;37.339;-22.938;3.626;-11.717;92.397;-62.860;111.885;"2026-03-28T09:29:44.300+01:00|W1|2.0|1.93|0.15|1.93|0.52;2026-03-28T09:29:44.300+01:00|W2|1.7|1.55|0.21|1.55|0.25;2026-03-28T09:29:44.300+01:00|W3|1.6|1.38|0.06|1.38|0.63;2026-03-28T09:29:44.300+01:00|W4|1.3|0.91|0.02|0.91|0.97;2026-03-28T09:29:44.300+01:00|W5|1.0|0.94|0.02|0.94|0.24;2026-03-28T09:29:44.300+01:00|W6|1.3|1.08|0.07|1.08|0.64;2026-03-28T09:29:44.300+01:00|W7|1.5|1.14|0.18|1.14|1.01;2026-03-28T09:29:44.300+01:00|W8|1.5|0.63|0.11|0.63|1.33;2026-03-28T09:29:44.300+01:00|W9|0.7|0.23|0.23|0.23|0.60;2026-03-28T09:29:44.300+01:00|W10|1.0|0.85|0.04|0.85|0.53;2026-03-28T09:29:44.300+01:00|W11|0.9|0.31|0.07|0.31|0.85;2026-03-28T09:29:44.300+01:00|W12|1.2|0.05|0.11|0.05|1.22"
96.00;3.93;2026-03-28T09:29:44.2655065+01:00;87.97;-1.56;-38.09;14.9;-3.262;-6.263;37.296;-24.715;3.956;-11.916;92.351;-62.988;111.923;"2026-03-28T09:29:44.300+01:00|W1|2.0|1.93|0.15|1.93|0.52;2026-03-28T09:29:44.300+01:00|W2|1.7|1.55|0.21|1.55|0.25;2026-03-28T09:29:44.300+01:00|W3|1.6|1.38|0.06|1.38|0.63;2026-03-28T09:29:44.300+01:00|W4|1.3|0.91|0.02|0.91|0.97;2026-03-28T09:29:44.300+01:00|W5|1.0|0.94|0.02|0.94|0.24;2026-03-28T09:29:44.300+01:00|W6|1.3|1.08|0.07|1.08|0.64;2026-03-28T09:29:44.300+01:00|W7|1.5|1.14|0.18|1.14|1.01;2026-03-28T09:29:44.300+01:00|W8|1.5|0.63|0.11|0.63|1.33;2026-03-28T09:29:44.300+01:00|W9|0.7|0.23|0.23|0.23|0.60;2026-03-28T09:29:44.300+01:00|W10|1.0|0.85|0.04|0.85|0.53;2026-03-28T09:29:44.300+01:00|W11|0.9|0.31|0.07|0.31|0.85;2026-03-28T09:29:44.300+01:00|W12|1.2|0.05|0.11|0.05|1.22"
97.00;3.92;2026-03-28T09:29:44.2986068+01:00;88.83;-1.61;-38.68;15.7;-4.086;-6.495;37.253;-25.903;4.281;-11.974;92.564;-63.584;112.429;"2026-03-28T09:29:44.300+01:00|W1|2.0|1.93|0.15|1.93|0.52;2026-03-28T09:29:44.300+01:00|W2|1.7|1.55|0.21|1.55|0.25;2026-03-28T09:29:44.300+01:00|W3|1.6|1.38|0.06|1.38|0.63;2026-03-28T09:29:44.300+01:00|W4|1.3|0.91|0.02|0.91|0.97;2026-03-28T09:29:44.300+01:00|W5|1.0|0.94|0.02|0.94|0.24;2026-03-28T09:29:44.300+01:00|W6|1.3|1.08|0.07|1.08|0.64;2026-03-28T09:29:44.300+01:00|W7|1.5|1.14|0.18|1.14|1.01;2026-03-28T09:29:44.300+01:00|W8|1.5|0.63|0.11|0.63|1.33;2026-03-28T09:29:44.300+01:00|W9|0.7|0.23|0.23|0.23|0.60;2026-03-28T09:29:44.300+01:00|W10|1.0|0.85|0.04|0.85|0.53;2026-03-28T09:29:44.300+01:00|W11|0.9|0.31|0.07|0.31|0.85;2026-03-28T09:29:44.300+01:00|W12|1.2|0.05|0.11|0.05|1.22"
98.00;3.91;2026-03-28T09:29:44.3316550+01:00;89.69;-1.66;-39.27;16.4;-4.942;-6.724;36.550;-27.017;4.500;-11.939;92.800;-64.206;112.970;"2026-03-28T09:29:44.300+01:00|W1|2.0|1.93|0.15|1.93|0.52;2026-03-28T09:29:44.300+01:00|W2|1.7|1.55|0.21|1.55|0.25;2026-03-28T09:29:44.300+01:00|W3|1.6|1.38|0.06|1.38|0.63;2026-03-28T09:29:44.300+01:00|W4|1.3|0.91|0.02|0.91|0.97;2026-03-28T09:29:44.300+01:00|W5|1.0|0.94|0.02|0.94|0.24;2026-03-28T09:29:44.300+01:00|W6|1.3|1.08|0.07|1.08|0.64;2026-03-28T09:29:44.300+01:00|W7|1.5|1.14|0.18|1.14|1.01;2026-03-28T09:29:44.300+01:00|W8|1.5|0.63|0.11|0.63|1.33;2026-03-28T09:29:44.300+01:00|W9|0.7|0.23|0.23|0.23|0.60;2026-03-28T09:29:44.300+01:00|W10|1.0|0.85|0.04|0.85|0.53;2026-03-28T09:29:44.300+01:00|W11|0.9|0.31|0.07|0.31|0.85;2026-03-28T09:29:44.300+01:00|W12|1.2|0.05|0.11|0.05|1.22"
99.00;3.89;2026-03-28T09:29:44.3650152+01:00;90.55;-1.71;-39.87;16.0;-5.913;-6.820;33.760;-28.494;4.385;-11.756;92.845;-64.439;113.145;"2026-03-28T09:29:44.300+01:00|W1|2.0|1.93|0.15|1.93|0.52;2026-03-28T09:29:44.300+01:00|W2|1.7|1.55|0.21|1.55|0.25;2026-03-28T09:29:44.300+01:00|W3|1.6|1.38|0.06|1.38|0.63;2026-03-28T09:29:44.300+01:00|W4|1.3|0.91|0.02|0.91|0.97;2026-03-28T09:29:44.300+01:00|W5|1.0|0.94|0.02|0.94|0.24;2026-03-28T09:29:44.300+01:00|W6|1.3|1.08|0.07|1.08|0.64;2026-03-28T09:29:44.300+01:00|W7|1.5|1.14|0.18|1.14|1.01;2026-03-28T09:29:44.300+01:00|W8|1.5|0.63|0.11|0.63|1.33;2026-03-28T09:29:44.300+01:00|W9|0.7|0.23|0.23|0.23|0.60;2026-03-28T09:29:44.300+01:00|W10|1.0|0.85|0.04|0.85|0.53;2026-03-28T09:29:44.300+01:00|W11|0.9|0.31|0.07|0.31|0.85;2026-03-28T09:29:44.300+01:00|W12|1.2|0.05|0.11|0.05|1.22"
100.00;3.89;2026-03-28T09:29:44.3977829+01:00;91.39;-1.76;-40.46;15.4;-6.540;-6.826;32.244;-30.302;3.978;-11.562;92.881;-64.528;113.226;"2026-03-28T09:29:44.300+01:00|W1|2.0|1.93|0.15|1.93|0.52;2026-03-28T09:29:44.300+01:00|W2|1.7|1.55|0.21|1.55|0.25;2026-03-28T09:29:44.300+01:00|W3|1.6|1.38|0.06|1.38|0.63;2026-03-28T09:29:44.300+01:00|W4|1.3|0.91|0.02|0.91|0.97;2026-03-28T09:29:44.300+01:00|W5|1.0|0.94|0.02|0.94|0.24;2026-03-28T09:29:44.300+01:00|W6|1.3|1.08|0.07|1.08|0.64;2026-03-28T09:29:44.300+01:00|W7|1.5|1.14|0.18|1.14|1.01;2026-03-28T09:29:44.300+01:00|W8|1.5|0.63|0.11|0.63|1.33;2026-03-28T09:29:44.300+01:00|W9|0.7|0.23|0.23|0.23|0.60;2026-03-28T09:29:44.300+01:00|W10|1.0|0.85|0.04|0.85|0.53;2026-03-28T09:29:44.300+01:00|W11|0.9|0.31|0.07|0.31|0.85;2026-03-28T09:29:44.300+01:00|W12|1.2|0.05|0.11|0.05|1.22"
101.00;3.89;2026-03-28T09:29:44.4302072+01:00;92.23;-1.81;-41.04;14.7;-6.966;-6.765;31.089;-32.254;3.423;-11.378;92.919;-64.604;113.300;"2026-03-28T09:29:44.553+01:00|W1|2.0|1.91|0.08|1.91|0.47;2026-03-28T09:29:44.553+01:00|W2|1.5|1.43|0.05|1.43|0.13;2026-03-28T09:29:44.553+01:00|W3|1.6|1.38|0.02|1.38|0.56;2026-03-28T09:29:44.553+01:00|W4|1.3|0.93|0.01|0.93|0.95;2026-03-28T09:29:44.553+01:00|W5|1.1|1.02|0.01|1.02|0.13;2026-03-28T09:29:44.553+01:00|W6|1.4|1.13|0.08|1.13|0.79;2026-03-28T09:29:44.553+01:00|W7|1.6|1.23|0.08|1.23|1.00;2026-03-28T09:29:44.553+01:00|W8|1.6|0.82|0.15|0.82|1.33;2026-03-28T09:29:44.553+01:00|W9|0.7|0.32|0.19|0.32|0.57;2026-03-28T09:29:44.553+01:00|W10|1.1|0.90|0.06|0.90|0.57;2026-03-28T09:29:44.553+01:00|W11|0.9|0.25|0.06|0.25|0.86;2026-03-28T09:29:44.553+01:00|W12|1.3|0.08|0.06|0.08|1.30"
102.00;3.89;2026-03-28T09:29:44.4621038+01:00;93.05;-1.85;-41.61;13.8;-7.073;-6.569;29.621;-34.314;2.686;-11.241;92.980;-64.820;113.472;"2026-03-28T09:29:44.553+01:00|W1|2.0|1.91|0.08|1.91|0.47;2026-03-28T09:29:44.553+01:00|W2|1.5|1.43|0.05|1.43|0.13;2026-03-28T09:29:44.553+01:00|W3|1.6|1.38|0.02|1.38|0.56;2026-03-28T09:29:44.553+01:00|W4|1.3|0.93|0.01|0.93|0.95;2026-03-28T09:29:44.553+01:00|W5|1.1|1.02|0.01|1.02|0.13;2026-03-28T09:29:44.553+01:00|W6|1.4|1.13|0.08|1.13|0.79;2026-03-28T09:29:44.553+01:00|W7|1.6|1.23|0.08|1.23|1.00;2026-03-28T09:29:44.553+01:00|W8|1.6|0.82|0.15|0.82|1.33;2026-03-28T09:29:44.553+01:00|W9|0.7|0.32|0.19|0.32|0.57;2026-03-28T09:29:44.553+01:00|W10|1.1|0.90|0.06|0.90|0.57;2026-03-28T09:29:44.553+01:00|W11|0.9|0.25|0.06|0.25|0.86;2026-03-28T09:29:44.553+01:00|W12|1.3|0.08|0.06|0.08|1.30"
103.00;3.88;2026-03-28T09:29:44.4939930+01:00;93.88;-1.90;-42.19;13.0;-7.180;-6.372;28.153;-36.373;1.949;-11.104;93.040;-65.037;113.644;"2026-03-28T09:29:44.553+01:00|W1|2.0|1.91|0.08|1.91|0.47;2026-03-28T09:29:44.553+01:00|W2|1.5|1.43|0.05|1.43|0.13;2026-03-28T09:29:44.553+01:00|W3|1.6|1.38|0.02|1.38|0.56;2026-03-28T09:29:44.553+01:00|W4|1.3|0.93|0.01|0.93|0.95;2026-03-28T09:29:44.553+01:00|W5|1.1|1.02|0.01|1.02|0.13;2026-03-28T09:29:44.553+01:00|W6|1.4|1.13|0.08|1.13|0.79;2026-03-28T09:29:44.553+01:00|W7|1.6|1.23|0.08|1.23|1.00;2026-03-28T09:29:44.553+01:00|W8|1.6|0.82|0.15|0.82|1.33;2026-03-28T09:29:44.553+01:00|W9|0.7|0.32|0.19|0.32|0.57;2026-03-28T09:29:44.553+01:00|W10|1.1|0.90|0.06|0.90|0.57;2026-03-28T09:29:44.553+01:00|W11|0.9|0.25|0.06|0.25|0.86;2026-03-28T09:29:44.553+01:00|W12|1.3|0.08|0.06|0.08|1.30"
104.00;3.88;2026-03-28T09:29:44.5258584+01:00;94.70;-1.95;-42.76;12.1;-7.260;-6.173;26.700;-38.394;1.221;-10.994;93.098;-65.250;113.812;"2026-03-28T09:29:44.553+01:00|W1|2.0|1.91|0.08|1.91|0.47;2026-03-28T09:29:44.553+01:00|W2|1.5|1.43|0.05|1.43|0.13;2026-03-28T09:29:44.553+01:00|W3|1.6|1.38|0.02|1.38|0.56;2026-03-28T09:29:44.553+01:00|W4|1.3|0.93|0.01|0.93|0.95;2026-03-28T09:29:44.553+01:00|W5|1.1|1.02|0.01|1.02|0.13;2026-03-28T09:29:44.553+01:00|W6|1.4|1.13|0.08|1.13|0.79;2026-03-28T09:29:44.553+01:00|W7|1.6|1.23|0.08|1.23|1.00;2026-03-28T09:29:44.553+01:00|W8|1.6|0.82|0.15|0.82|1.33;2026-03-28T09:29:44.553+01:00|W9|0.7|0.32|0.19|0.32|0.57;2026-03-28T09:29:44.553+01:00|W10|1.1|0.90|0.06|0.90|0.57;2026-03-28T09:29:44.553+01:00|W11|0.9|0.25|0.06|0.25|0.86;2026-03-28T09:29:44.553+01:00|W12|1.3|0.08|0.06|0.08|1.30"
105.00;3.89;2026-03-28T09:29:44.5574626+01:00;95.52;-2.00;-43.34;11.8;-6.988;-5.938;25.442;-39.902;0.610;-11.233;93.118;-65.413;113.921;"2026-03-28T09:29:44.553+01:00|W1|2.0|1.91|0.08|1.91|0.47;2026-03-28T09:29:44.553+01:00|W2|1.5|1.43|0.05|1.43|0.13;2026-03-28T09:29:44.553+01:00|W3|1.6|1.38|0.02|1.38|0.56;2026-03-28T09:29:44.553+01:00|W4|1.3|0.93|0.01|0.93|0.95;2026-03-28T09:29:44.553+01:00|W5|1.1|1.02|0.01|1.02|0.13;2026-03-28T09:29:44.553+01:00|W6|1.4|1.13|0.08|1.13|0.79;2026-03-28T09:29:44.553+01:00|W7|1.6|1.23|0.08|1.23|1.00;2026-03-28T09:29:44.553+01:00|W8|1.6|0.82|0.15|0.82|1.33;2026-03-28T09:29:44.553+01:00|W9|0.7|0.32|0.19|0.32|0.57;2026-03-28T09:29:44.553+01:00|W10|1.1|0.90|0.06|0.90|0.57;2026-03-28T09:29:44.553+01:00|W11|0.9|0.25|0.06|0.25|0.86;2026-03-28T09:29:44.553+01:00|W12|1.3|0.08|0.06|0.08|1.30"
106.00;3.90;2026-03-28T09:29:44.5889788+01:00;96.33;-2.04;-43.90;11.6;-6.738;-5.673;24.670;-41.774;0.237;-11.532;93.130;-65.655;114.065;"2026-03-28T09:29:44.553+01:00|W1|2.0|1.91|0.08|1.91|0.47;2026-03-28T09:29:44.553+01:00|W2|1.5|1.43|0.05|1.43|0.13;2026-03-28T09:29:44.553+01:00|W3|1.6|1.38|0.02|1.38|0.56;2026-03-28T09:29:44.553+01:00|W4|1.3|0.93|0.01|0.93|0.95;2026-03-28T09:29:44.553+01:00|W5|1.1|1.02|0.01|1.02|0.13;2026-03-28T09:29:44.553+01:00|W6|1.4|1.13|0.08|1.13|0.79;2026-03-28T09:29:44.553+01:00|W7|1.6|1.23|0.08|1.23|1.00;2026-03-28T09:29:44.553+01:00|W8|1.6|0.82|0.15|0.82|1.33;2026-03-28T09:29:44.553+01:00|W9|0.7|0.32|0.19|0.32|0.57;2026-03-28T09:29:44.553+01:00|W10|1.1|0.90|0.06|0.90|0.57;2026-03-28T09:29:44.553+01:00|W11|0.9|0.25|0.06|0.25|0.86;2026-03-28T09:29:44.553+01:00|W12|1.3|0.08|0.06|0.08|1.30"
107.00;3.91;2026-03-28T09:29:44.6204028+01:00;97.14;-2.09;-44.47;11.8;-6.511;-5.377;24.405;-44.029;0.114;-11.894;93.132;-65.979;114.247;"2026-03-28T09:29:44.553+01:00|W1|2.0|1.91|0.08|1.91|0.47;2026-03-28T09:29:44.553+01:00|W2|1.5|1.43|0.05|1.43|0.13;2026-03-28T09:29:44.553+01:00|W3|1.6|1.38|0.02|1.38|0.56;2026-03-28T09:29:44.553+01:00|W4|1.3|0.93|0.01|0.93|0.95;2026-03-28T09:29:44.553+01:00|W5|1.1|1.02|0.01|1.02|0.13;2026-03-28T09:29:44.553+01:00|W6|1.4|1.13|0.08|1.13|0.79;2026-03-28T09:29:44.553+01:00|W7|1.6|1.23|0.08|1.23|1.00;2026-03-28T09:29:44.553+01:00|W8|1.6|0.82|0.15|0.82|1.33;2026-03-28T09:29:44.553+01:00|W9|0.7|0.32|0.19|0.32|0.57;2026-03-28T09:29:44.553+01:00|W10|1.1|0.90|0.06|0.90|0.57;2026-03-28T09:29:44.553+01:00|W11|0.9|0.25|0.06|0.25|0.86;2026-03-28T09:29:44.553+01:00|W12|1.3|0.08|0.06|0.08|1.30"
108.00;3.90;2026-03-28T09:29:44.6508490+01:00;97.94;-2.14;-45.05;11.8;-6.291;-5.252;24.149;-44.894;-0.006;-12.412;93.000;-65.596;113.917;"2026-03-28T09:29:44.553+01:00|W1|2.0|1.91|0.08|1.91|0.47;2026-03-28T09:29:44.553+01:00|W2|1.5|1.43|0.05|1.43|0.13;2026-03-28T09:29:44.553+01:00|W3|1.6|1.38|0.02|1.38|0.56;2026-03-28T09:29:44.553+01:00|W4|1.3|0.93|0.01|0.93|0.95;2026-03-28T09:29:44.553+01:00|W5|1.1|1.02|0.01|1.02|0.13;2026-03-28T09:29:44.553+01:00|W6|1.4|1.13|0.08|1.13|0.79;2026-03-28T09:29:44.553+01:00|W7|1.6|1.23|0.08|1.23|1.00;2026-03-28T09:29:44.553+01:00|W8|1.6|0.82|0.15|0.82|1.33;2026-03-28T09:29:44.553+01:00|W9|0.7|0.32|0.19|0.32|0.57;2026-03-28T09:29:44.553+01:00|W10|1.1|0.90|0.06|0.90|0.57;2026-03-28T09:29:44.553+01:00|W11|0.9|0.25|0.06|0.25|0.86;2026-03-28T09:29:44.553+01:00|W12|1.3|0.08|0.06|0.08|1.30"
